blockNumber,transactionIndex,address,transactionHash,logIndex,event_ilk,event_urn,event_ink,event_art,event_due,event_clip,event_id,timestamp,from
12492073,70,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x3ae43f233c843d19795a5a8ca0a0d512c7f3ec45faf8053b210dba561cdfb403,150,0x4554482d41000000000000000000000000000000000000000000000000000000,0x9dee02A6c90B4675440d0E27D413A82A92f473f4,15.446885711564223,18756.074429560347,19574587377176922891781115531384.123410156977357312,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.62e-16,1621792945,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492073,70,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x3ae43f233c843d19795a5a8ca0a0d512c7f3ec45faf8053b210dba561cdfb403,155,0x574254432d410000000000000000000000000000000000000000000000000000,0xCA7EC92E6bf4C00C3aE189A492DEeD3767c7d298,0.7778,16345.931446754596,16879864668719924892191657583319.669093869724912481,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,8.1e-17,1621792945,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492073,70,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x3ae43f233c843d19795a5a8ca0a0d512c7f3ec45faf8053b210dba561cdfb403,160,0x5a52582d41000000000000000000000000000000000000000000000000000000,0xCd198E6568cd4618aA76b8393d779Ee7bbFa29CE,25063.18034214324,9773.312144025744,10012147324156851341861013988718.744928129950037672,0xdc90d461E148552387f3aB3EBEE0Bdc58Aa16375,3.1e-17,1621792945,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492084,48,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x51488de7d4c3a60d19ec1161b0a739fc3119e1de1b87a2cbe0b2df06908382dc,55,0x4554482d41000000000000000000000000000000000000000000000000000000,0x8429A4FFC60b64B0b7F5502D0BC30203F379d954,7.4,8887.392669673567,9275237471526968236453673059912.616498116440120064,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.63e-16,1621793094,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492084,48,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x51488de7d4c3a60d19ec1161b0a739fc3119e1de1b87a2cbe0b2df06908382dc,60,0x574254432d410000000000000000000000000000000000000000000000000000,0x7D0B8b190Fc92E85634001091F6aABf78A1d0659,0.41036044,8769.554615225621,9056008560426644758476725780452.127564187182018007,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,8.2e-17,1621793094,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492084,48,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x51488de7d4c3a60d19ec1161b0a739fc3119e1de1b87a2cbe0b2df06908382dc,65,0x4554482d41000000000000000000000000000000000000000000000000000000,0xD2b15D52F4D598c002507EF2aDD9f5dC2B0CBf9e,7.09923164764367,8620.890076253007,8997104735343467719641042539379.757121564128053504,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.64e-16,1621793094,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492084,48,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x51488de7d4c3a60d19ec1161b0a739fc3119e1de1b87a2cbe0b2df06908382dc,70,0x5a52582d41000000000000000000000000000000000000000000000000000000,0xcb0B42F01cfC134Bf742bb3eb4151c44204B7c83,20584.42218582708,7871.124036679626,8063474521288247071496608937288.53300475841781331,0xdc90d461E148552387f3aB3EBEE0Bdc58Aa16375,3.2e-17,1621793094,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492084,48,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x51488de7d4c3a60d19ec1161b0a739fc3119e1de1b87a2cbe0b2df06908382dc,75,0x4554482d41000000000000000000000000000000000000000000000000000000,0xA6BFB49Bf028ce949Da367682D625D7eeE559DB7,6.4,7713.704827144633,8050330025494219752396460140357.549144708684415232,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,1.65e-16,1621793094,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492084,48,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x51488de7d4c3a60d19ec1161b0a739fc3119e1de1b87a2cbe0b2df06908382dc,80,0x574254432d410000000000000000000000000000000000000000000000000000,0xe9d2C714988c26B7c2c665c638ba8f1127885893,0.32260766,6926.398397424116,7152646392223238660975813810624.40035096702279519,0x0227b54AdbFAEec5f1eD1dFa11f54dcff9076e2C,8.3e-17,1621793094,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
12492084,48,0x135954d155898D42C90D2a57824C690e0c7BEf1B,0x51488de7d4c3a60d19ec1161b0a739fc3119e1de1b87a2cbe0b2df06908382dc,85,0x4c494e4b2d410000000000000000000000000000000000000000000000000000,0x46DD3DcBEDD66845B1a9f96521052c45aAbBC5B0,615.95,5924.592120927566,6029890872666287058977844398161.09988950257041861,0x832Dd5f17B30078a5E46Fdb8130A68cBc4a74dC0,3.7e-17,1621793094,0xd2C1b9B2EdD04F03cD00B957fE04C5f4D9Fbb88f
