event_ilk,event_symb,blockNumber,transactionIndex,address,transactionHash,logIndex,event_id,event_top,event_tab,event_lot,event_usr,event_kpr,event_coin,timestamp,from
0x4241542d41000000000000000000000000000000000000000000000000000000,BAT,13713880,151,0x3D22e6f643e2F4c563fD9db22b229Cbb0Cd570fb,0x45f60d9bf8234db41a0fc558edae34bbc8009d6759a1dcfcd0554b06f86ded1e,250,3.8e-17,2070156145.98,98282587141656786096903094991.62267025744912928,2026,0x40a247a91f7001eb29150D181AB8aA030d4615B4,0x4Cd62db8E2D78Db8138E4d6E0d65cf76ff2A3b85,0,1638262797,0x4Cd62db8E2D78Db8138E4d6E0d65cf76ff2A3b85
0x4241542d41000000000000000000000000000000000000000000000000000000,BAT,13714989,264,0x3D22e6f643e2F4c563fD9db22b229Cbb0Cd570fb,0xc33fe61e5a2df5fdafd352682832d66ddbb54f36411621f718a159c9890bb7ae,383,4e-17,1933800516.7,21548613739640195424714365821.130876097451265888,489.9415085822201,0x2f69771dfCDaFd0F037A2C897e2762C88d953850,0xB2E1284Fb685dbDcc4378cF5d4E9515679527a42,0,1638278357,0xB2E1284Fb685dbDcc4378cF5d4E9515679527a42
0x4241542d41000000000000000000000000000000000000000000000000000000,BAT,13715188,60,0x3D22e6f643e2F4c563fD9db22b229Cbb0Cd570fb,0xfc8bc590b58671953429c4ab0c51ae97a60e99f0302675058fce0c40b4f2c1f4,111,3.9e-17,1945200372.18,31721351955776105071857268276.233136830489282592,714.4856971678513,0x4D10EC0a1C79c603AbB95dFbDb00c34f17d36B46,0x067FB6b6ff920e3ed9eeE13808009BC2a6d5d736,0,1638281135,0x067FB6b6ff920e3ed9eeE13808009BC2a6d5d736
