event_ilk,event_symb,blockNumber,transactionIndex,address,transactionHash,logIndex,event_id,event_max,event_price,event_owe,event_tab,event_lot,event_usr,timestamp,from
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12382543,144,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x74e01ade63b824d6c3d397b99c87a762ba7424eead0619518b4541a1a59aad87,292,1e-18,3519420702256.8384,3519420702256.8384,5710947866964318147019762333254.86955390448561257,0,0.507304576488353,0x3539cCfF045B83f6859492E4C5FFe872F32c1F5E,1620328166,0xF3d18dB1B4900bAd51b6106F757515d1650A5894
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12390466,5,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x052df12b39d0e6bef8b8b043596837c1322aef3a6318c5751cdd5c076dee9471,36,2e-18,3490748535524.32,3422397345001.8823,6814476581722585589446524757542.003822766306455935,0,0.6202587341634823,0xa570adf6E0001c45F42B007aDda6D93e8573201a,1620434549,0x45A2F2170e050153393a6f935D5c7e84c35F07f6
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12426011,49,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xfb15ec3055252f0940a93114878349ea8f718510361882bf5c788ea9abf21631,71,3e-18,3777861533216.07,3729007010656.0015,5650023299941948535556512387148.982442953360998754,0,0.4448450850866047,0x4C08CF96b9614b35662EFE5394997688Aaa20aa5,1620908717,0x45A2F2170e050153393a6f935D5c7e84c35F07f6
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12448026,6,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x580b90595490e391c58993ed35b0c4677548f37dc3b9496c680e4a8d18e48be7,18,4e-18,3432835025534.997,3432835025534.997,512685145469760591882562659911731.819018425607002672,0,44.535150091341535,0xB0bC48fD3acaB3A4815cb8C5719D5044a706927B,1621201952,0xf168041fc1C22292AF049B037743BF3e97136B8E
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12448235,11,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xc2aba70021d8ca4a22a985b70534bbba3bd15c79d86852c655dfc4d0e3471c9f,22,5e-18,3465743734014.622,3465743734014.622,315589356993516954366605963511796.089384178986957358,0,33.00751583300512,0xF102D4615B667C0e8eF5cCdbDeBeF9bd615c27cD,1621204608,0x045bF24164B9Dd5949bCD780f679FB60EffE7637
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12448237,30,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0x52e8fb5004d14350544a5f10ea3165aaac395a82e84ee335b4146a3fbb5b89b1,61,6e-18,3465743734014.622,3465743734014.622,40503194190298193531487000491617.221585550398174927,0,4.313274927751104,0x82FC9B8B5A359d74573F44310824cfe951036e6b,1621204660,0x919eF9d63Dce0F1236613c594Bb932c2354840aE
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12448255,6,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xaa8988577b6336bf3b01f89f48d3d2b3644ad4870b1121d6d4f2ef4a5314e8bb,22,7e-18,3396775433707.731,3396775433707.731,8304245412960809518947105727000.127482409132903769,0,0.7752562790716025,0xB204fcaa5124567E05BCA052d476A84e923cEd52,1621204883,0x4Efaf884B0F9B5261618F52d11BaA7E698a3546f
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12450108,6,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xa35a4b8ec1494a3da0dd823bbe5f6e34d6f0ae3c69c04fe1a65724c402be30ab,34,8e-18,3236685323387.9277,3236685323387.9277,279391384036080481026781858624930.646905475645335157,0,26.93283570830474,0x0a678b2ca9932b57168Af30728e4737b80Ec5140,1621230174,0xEE17C9e5BE6fB3c22787380C3f86a2f6C1977F57
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12459542,28,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xf2cfec342b9ab5ac91e717a21d97fd86bfce5b5a0e52c127e95c417fefe9c5b9,63,9e-18,3356964635192.582,3356964635192.582,5650422732867833690296141040800.258919368478828673,0,0.52680599979163,0x02ce8Bd2B3b39E86C588DbDdc0a01362bc60d295,1621356274,0x79636263EE08003350E0af73f625806B13bEf075
0x4554482d41000000000000000000000000000000000000000000000000000000,WETH,12459546,37,0xc67963a226eddd77B91aD8c421630A1b0AdFF270,0xca9333ad1d541ee4aa69c5b5537821b9bbb55c4e4cbbc6eb610a2f847b3fea73,85,1e-17,3356964635192.582,3356964635192.582,9903912340831518536424550927562.509215525980855409,0,1.0497418301627859,0x644a021d77C993f986B8fD63594FD0d9E9bD6FEC,1621356315,0xfDc7F6Fe18482677b544F114ee57582Ae4D37A0A
